species,demographic_life_stage,authority,nutrient_id,metric,value_numeric,unit
human,adult_male,US_DRI,protein,RDA,56,g
human,adult_female,US_DRI,protein,RDA,46,g
human,adult_male,US_DRI,protein,RDA_multiplier_per_kg,0.8,g
human,adult_female,US_DRI,protein,RDA_multiplier_per_kg,0.8,g
human,adult_male,US_DRI,carbohydrate,RDA,130,g
human,adult_female,US_DRI,carbohydrate,RDA,130,g
human,adult_male,US_DRI,fiber,AI,38,g
human,adult_female,US_DRI,fiber,AI,25,g
human,adult_male,US_DRI,water,AI,3700,g
human,adult_female,US_DRI,water,AI,2700,g
human,adult_male,US_DRI,lipid,NO_DRI,0,
human,adult_female,US_DRI,lipid,NO_DRI,0,
human,adult_male,US_DRI,sugar,GUIDELINE_MAX,50,g
human,adult_female,US_DRI,sugar,GUIDELINE_MAX,50,g
human,adult_male,US_DRI,cholesterol,GUIDELINE_MAX,300,mg
human,adult_female,US_DRI,cholesterol,GUIDELINE_MAX,300,mg
human,adult_male,US_DRI,caffeine,GUIDELINE_MAX,400,mg
human,adult_female,US_DRI,caffeine,GUIDELINE_MAX,400,mg
human,adult_male,US_DRI,vitamin_a,RDA,900,mcg
human,adult_female,US_DRI,vitamin_a,RDA,700,mcg
human,adult_male,US_DRI,vitamin_a,UL,3000,mcg
human,adult_female,US_DRI,vitamin_a,UL,3000,mcg
human,adult_male,US_DRI,vitamin_c,RDA,90,mg
human,adult_female,US_DRI,vitamin_c,RDA,75,mg
human,adult_male,US_DRI,vitamin_c,UL,2000,mg
human,adult_female,US_DRI,vitamin_c,UL,2000,mg
human,adult_male,US_DRI,vitamin_d,RDA,15,mcg
human,adult_female,US_DRI,vitamin_d,RDA,15,mcg
human,adult_male,US_DRI,vitamin_d,UL,100,mcg
human,adult_female,US_DRI,vitamin_d,UL,100,mcg
human,adult_male,US_DRI,alpha_tocopherol,RDA,15,mg
human,adult_female,US_DRI,alpha_tocopherol,RDA,15,mg
human,adult_male,US_DRI,alpha_tocopherol,UL,1000,mg
human,adult_female,US_DRI,alpha_tocopherol,UL,1000,mg
human,adult_male,US_DRI,phylloquinone,AI,120,mcg
human,adult_female,US_DRI,phylloquinone,AI,90,mcg
human,adult_male,US_DRI,thiamin,RDA,1.2,mg
human,adult_female,US_DRI,thiamin,RDA,1.1,mg
human,adult_male,US_DRI,riboflavin,RDA,1.3,mg
human,adult_female,US_DRI,riboflavin,RDA,1.1,mg
human,adult_male,US_DRI,niacin,RDA,16,mg
human,adult_female,US_DRI,niacin,RDA,14,mg
human,adult_male,US_DRI,niacin,UL,35,mg
human,adult_female,US_DRI,niacin,UL,35,mg
human,adult_male,US_DRI,vitamin_b5,AI,5,mg
human,adult_female,US_DRI,vitamin_b5,AI,5,mg
human,adult_male,US_DRI,vitamin_b6,RDA,1.3,mg
human,adult_female,US_DRI,vitamin_b6,RDA,1.3,mg
human,adult_male,US_DRI,vitamin_b6,UL,100,mg
human,adult_female,US_DRI,vitamin_b6,UL,100,mg
human,adult_male,US_DRI,folate,RDA,400,mcg
human,adult_female,US_DRI,folate,RDA,400,mcg
human,adult_male,US_DRI,folate,UL,1000,mcg
human,adult_female,US_DRI,folate,UL,1000,mcg
human,adult_male,US_DRI,cyanocobalamin,RDA,2.4,mcg
human,adult_female,US_DRI,cyanocobalamin,RDA,2.4,mcg
human,adult_male,US_DRI,choline,AI,550,mg
human,adult_female,US_DRI,choline,AI,425,mg
human,adult_male,US_DRI,choline,UL,3500,mg
human,adult_female,US_DRI,choline,UL,3500,mg
human,adult_male,US_DRI,calcium,RDA,1000,mg
human,adult_female,US_DRI,calcium,RDA,1000,mg
human,adult_male,US_DRI,calcium,UL,2500,mg
human,adult_female,US_DRI,calcium,UL,2500,mg
human,adult_male,US_DRI,phosphorus,RDA,700,mg
human,adult_female,US_DRI,phosphorus,RDA,700,mg
human,adult_male,US_DRI,phosphorus,UL,4000,mg
human,adult_female,US_DRI,phosphorus,UL,4000,mg
human,adult_male,US_DRI,magnesium,RDA,400,mg
human,adult_female,US_DRI,magnesium,RDA,310,mg
human,adult_male,US_DRI,sodium,AI,1500,mg
human,adult_female,US_DRI,sodium,AI,1500,mg
human,adult_male,US_DRI,sodium,UL,2300,mg
human,adult_female,US_DRI,sodium,UL,2300,mg
human,adult_male,US_DRI,potassium,AI,3400,mg
human,adult_female,US_DRI,potassium,AI,2600,mg
human,adult_male,US_DRI,iron,RDA,8,mg
human,adult_female,US_DRI,iron,RDA,18,mg
human,adult_male,US_DRI,iron,UL,45,mg
human,adult_female,US_DRI,iron,UL,45,mg
human,adult_male,US_DRI,zinc,RDA,11,mg
human,adult_female,US_DRI,zinc,RDA,8,mg
human,adult_male,US_DRI,zinc,UL,40,mg
human,adult_female,US_DRI,zinc,UL,40,mg
human,adult_male,US_DRI,copper,RDA,0.9,mg
human,adult_female,US_DRI,copper,RDA,0.9,mg
human,adult_male,US_DRI,copper,UL,10,mg
human,adult_female,US_DRI,copper,UL,10,mg
human,adult_male,US_DRI,selenium,RDA,55,mcg
human,adult_female,US_DRI,selenium,RDA,55,mcg
human,adult_male,US_DRI,selenium,UL,400,mcg
human,adult_female,US_DRI,selenium,UL,400,mcg
human,adult_male,US_DRI,iodine,RDA,150,mcg
human,adult_female,US_DRI,iodine,RDA,150,mcg
human,adult_male,US_DRI,iodine,UL,1100,mcg
human,adult_female,US_DRI,iodine,UL,1100,mcg
human,adult_male,US_DRI,manganese,AI,2.3,mg
human,adult_female,US_DRI,manganese,AI,1.8,mg
human,adult_male,US_DRI,manganese,UL,11,mg
human,adult_female,US_DRI,manganese,UL,11,mg
human,adult_male,US_DRI,fluoride,AI,4,mg
human,adult_female,US_DRI,fluoride,AI,3,mg
human,adult_male,US_DRI,fluoride,UL,10,mg
human,adult_female,US_DRI,fluoride,UL,10,mg
human,adult_male,US_DRI,histidine,RDA_multiplier_per_kg,14,mg
human,adult_female,US_DRI,histidine,RDA_multiplier_per_kg,14,mg
human,adult_male,US_DRI,isoleucine,RDA_multiplier_per_kg,19,mg
human,adult_female,US_DRI,isoleucine,RDA_multiplier_per_kg,19,mg
human,adult_male,US_DRI,leucine,RDA_multiplier_per_kg,42,mg
human,adult_female,US_DRI,leucine,RDA_multiplier_per_kg,42,mg
human,adult_male,US_DRI,lysine,RDA_multiplier_per_kg,38,mg
human,adult_female,US_DRI,lysine,RDA_multiplier_per_kg,38,mg
human,adult_male,US_DRI,methionine,RDA_multiplier_per_kg,19,mg
human,adult_female,US_DRI,methionine,RDA_multiplier_per_kg,19,mg
human,adult_male,US_DRI,phenylalanine,RDA_multiplier_per_kg,33,mg
human,adult_female,US_DRI,phenylalanine,RDA_multiplier_per_kg,33,mg
human,adult_male,US_DRI,threonine,RDA_multiplier_per_kg,20,mg
human,adult_female,US_DRI,threonine,RDA_multiplier_per_kg,20,mg
human,adult_male,US_DRI,tryptophan,RDA_multiplier_per_kg,5,mg
human,adult_female,US_DRI,tryptophan,RDA_multiplier_per_kg,5,mg
human,adult_male,US_DRI,valine,RDA_multiplier_per_kg,24,mg
human,adult_female,US_DRI,valine,RDA_multiplier_per_kg,24,mg
human,adult_male,US_DRI,c18_d2_n6_cis_cis,AI,17,g
human,adult_female,US_DRI,c18_d2_n6_cis_cis,AI,12,g
human,adult_male,US_DRI,c18_d3_n3_cis_cis_cis,AI,1.6,g
human,adult_female,US_DRI,c18_d3_n3_cis_cis_cis,AI,1.1,g
human,adult_male,US_DRI,c22_d6_n3,RECOMMENDATION,0.25,g
human,adult_female,US_DRI,c22_d6_n3,RECOMMENDATION,0.25,g
canine,adult_maintenance,AAFCO,protein,MIN_per_1000kcal,45,g_per_1000kcal
canine,adult_maintenance,AAFCO,lipid,MIN_per_1000kcal,13.8,g_per_1000kcal
canine,adult_maintenance,AAFCO,calcium,MIN_per_1000kcal,1250,mg_per_1000kcal
canine,adult_maintenance,AAFCO,phosphorus,MIN_per_1000kcal,1000,mg_per_1000kcal
canine,adult_maintenance,AAFCO,potassium,MIN_per_1000kcal,1500,mg_per_1000kcal
canine,adult_maintenance,AAFCO,sodium,MIN_per_1000kcal,200,mg_per_1000kcal
canine,adult_maintenance,AAFCO,magnesium,MIN_per_1000kcal,150,mg_per_1000kcal
canine,adult_maintenance,AAFCO,iron,MIN_per_1000kcal,10,mg_per_1000kcal
canine,adult_maintenance,AAFCO,copper,MIN_per_1000kcal,1.83,mg_per_1000kcal
